jenis_makam,lokasi,zona,no_lot,ukuran
kotak_abu,KARAWANG,LCB-B-B10,DL-3A-38,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-3A-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-08,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-108,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-118,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-128,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-138,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-18,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-28,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-38,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-88,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-01-98,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-08,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-108,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-118,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-128,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-138,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-18,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-28,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-38,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-88,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-02-98,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-08,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-108,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-118,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-128,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-138,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-18,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-28,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-38,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-88,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-03-98,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-08,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-108,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-118,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-128,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-138,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-18,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-28,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-38,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-88,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-05-98,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-08,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-108,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-118,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-128,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-138,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-18,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-28,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-38,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-88,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-06-98,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-08,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-108,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-118,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-128,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-138,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-18,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-28,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-38,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-88,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-07-98,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-08,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-108,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-118,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-128,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-138,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-18,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-28,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-38,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-88,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-08-98,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-08,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-108,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-118,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-128,Double
